vi,nom,explain
Ban tổ chức,班組織,Organizer
bán hàng,𧸝行,Sales
bỏ nhà,𠬃茹,Running away from home
chúng con,衆崑,us
chưa thấy,𣠖𧡊,Not seen yet
chắc chắn là không,𢡠𥗜𱺵空,Definitely not
chụp ảnh,𨄴影,Photography
con dao,崑刀,knife
có trách nhiệm,固責任,Responsible
dòng điện thoại,𣳔電話,Phone Series
dọc trục,𨂔逐,Along the axis
gió lớn,𩙍𡘯,high winds
hai tay,𠄩𢬣,Two-handed
hôm trước,𣋚𠓀,
Không cần khách sáo,空懃客套,No need to be polite
ký ức,記憶,
mở rộng tầm mắt,𢲫㢅尋眜,Eye Opening
người chứng,人證,
phân hóa,分化,Differentiation
quỳ xuống đất,跪𬺗𡐙,Kneeling on the ground
sự thay đổi,事𠊝𢷮,Change
theo quan niệm,蹺觀念,According to the concept
Thân thủ,身手,
thói quen,𢟔慣,Habits
tinh luyện,精練,refined
trọn bộ,𠓻部,Full set
tì vết,埤𤵖,Blemishes
vòng xuyến,𤥑串,roundabout
đảo điên,倒顛,crazy
