vi,nom,explain
bên đường,邊塘,Roadside
Châu Âu,州歐,Europe
gì đây,之低,What is this
hoàng ân,皇恩,Hoang An
huy chương vàng,徽章鐄,
khó hiểu,𠸋曉,confusing
không ngại,空懝,don't be afraid
màu lam,牟藍,blue
nghe nhầm,𦖑𡍚,Mishearing
ngoài mặt,外𩈘,Appearance
ngọc giản,玉簡,yujian
như cá gặp nước,如個﨤渃,Like a fish meets water
nước cam,渃柑,
sắp xếp thời gian,𢯛攝時間,scheduling time
thu gọn,收𦄣,Collapse
thuế chống trợ cấp,稅𥧪助給,Anti-subsidy taxes
tu tiên,修仙,xiuxian
tờ giấy,詞紙,Sheet of paper
uy năng,威能,Powerful
uyển ngữ,婉語,
đưa vào,迻𠓨,Included
