vi,nom,explain
bút tháp,筆塔,tower pen
bước quan trọng,𨀈關重,Important steps
bị giam,被監,imprisoned
chống lại,𢶢徠,against
coi là,䁛𱺵,Consider that
họa phúc,禍福,
hồ ly,狐狸,Huli jing
khá nhiều,可𡗉,quite a lot
không đỡ,空扡,It doesn't help
làm quan,𫜵官,Work as an official
lá thư cảm ơn,蘿書感恩,Thank You Letter
lát sau,𣋩𢖕,Later
lẻn vào,𨇍𠓨,sneak in
một câu,沒句|𠬠句,One Sentence
một mẻ,𠬠𠝫,One Batch
Nghĩa bất dung từ,義不容辭,The meaning of the word intolerance
ngoại cỡ,外櫸,
ngày thứ hai,𣈜次𠄩,The second day
nuốt sống,𠸂𤯩,Swallow alive
rời nhà,浰茹,
sự mạnh mẽ,事猛瑪,Strength
trong khi đó,沖崎妬,Meanwhile
trả lương,㨋粮,Pay salary
tưởng ai,想埃,Who do you think?
với tinh thần,貝精神,With spirit
đá ngầm,跢砛,Reef
đúng với,倲貝,true to
đại họa,大禍,catastrophe
để râu,抵𩯁,
