vi,nom,explain
bao nhiêu lần,包饒吝,how many times
bị xúc phạm,被觸犯,offended
bộ xương,部锠,skeleton
cao tốc,高速,Highway
chuẩn bị để,準備底,Prepare to
còn về,𡀳𧗱,About
Công ty cổ phần,公司股份,Joint Stock Company
gần nhà,近茹,Near Home
hòa lẫn,和悋,blend in
mong đợi,懞𨃉,Expectations
mất mạng,𠅒命,loss of life
mất mốc,𠅒𡉿,Loss of Landmark
mặt ngoài,𩈘外,Exterior
ngồi xếp bằng,𱖗攝凭,Sitting in a row
quá tốt,過𩫛,too good
trên thế giới,𨑗世界,in the world
tái xuất,再出,Re-Export Date
tóc mai,𩯀枚,sideburns
ám toán,暗算,
đêm nay,𣈘𠉞,tonight
đúng thời điểm,倲時點,Right time
đầu năm,頭年,Beginning of the year
