vi,nom,explain
bò dậy,虶丕,Crawl up
bầu bạn,抔伴,Friendship
bằng cách,憑格,by
bổ nhào,補𨇵,Dive
các bên,各邊,Parties
cười duyên,唭緣,Smile grace|smile charmingly
Duyên Thọ,延壽,Duyen Tho
giặt quần áo,𣾹裙襖,Washing clothes
hài hòa,諧和,Harmony
Hàng Châu,杭州,Hangzhou
hết lòng,歇挵,Wholeheartedly
hồ rượu,壺酒,Rượu /Alcohol
kiểu tóc,矯𩯀,Hairstyles
lòng trắng,挵𤽸,
lơi lỏng,唻挵,Loose
lạ kỳ,𨓐奇,weird.
lập lại,立吏,To restore
lọt vào,𢯰𠓨,Enter
mãi mãi,𫡠荬,forever
một câu chuyện,𠬠句傳,a story
ngoại lệ,外厲,Exceptions
người con,𠊛崑,
ngồi đối diện,𱖗對面,Sitting Opposite
nhớ lại,𢖵吏,Recall
nhớ đến,𢖵𦤾,Remember
nước miếng,渃𠰳,
nỗi sợ hãi,餒𢜝駭,Fear
oẳn tù tì,one・two・three,One-two-three
phụ nhân,婦人,Women
ranh giới,𩲵界,Boundary
tham khảo kinh nghiệm,參考經驗,Experience Reference
trau dồi,𢫵𢬗,Cultivate
Trước khi,𠓀崎,Before
trừ khi,除欺,unless
tóc gáy,𩯀𠰁,hair on the nape of the neck
từ nhỏ,詞㳶,from childhood
với tôi,貝碎,
xem trọng,䀡重,Value
đáy tháng,底𣎃,Month Bottom
đã lâu,㐌樓,Long ago
đêm khuya,𣎀𣌉,Late Night
đặt chân lên,撻蹎𬨠,Put your feet up
