vi,nom,explain
bao quanh,包𨒺,Surround
bị ảnh hưởng,被影響,affected
chính quyền địa phương,政權地方,Local Government
chặn đường,浱塘,Block the road
có ân,固恩,An
giống người,𥠭𠊛,Humanoid
gây chuyện,掑𡀯,causing trouble
hai tuần,𠄩旬,two weeks
không thực tế,空實際,Not realistic
kiểm tra xem,檢查䀡,check and see
minh chủ,明主,
mưa như trút nước,𩄎如䢖渃,pouring rain
Mạnh Hùng,猛雄,Manh Hung
một lát,殳𣋛,a slice
ngay bây giờ,𠵨𣊾𣇞,right now
ngu ngốc,愚呆,stupid
nhiều vô kể,𡗉無計,Countless
Nhớ mẹ,𢖵媄,Missing mother
nói về chuyện,吶𧗱𡀯,talk about it
quá ít,過𠃣,too little
rót ra,𣹕𤄷,pour out
sửa lỗi,𢯢纇,Bug fixes
than khóc,坍哭,mourning
thiết lập quan hệ ngoại giao,設立關係外交,establishing diplomatic relations
thuật toán,術算,Algorithm
thường nói,常吶,Commonly said
thọ nguyên,夀元,Longevity
trung phẩm,中品,Intermediate Products
tản nhiệt,散熱,Heat Sink
vết máu,𤵖𧖱,Blood stains
đánh chết,打𣩁,Beat to death
đạt mức,達𣞪,reached the level
ưu tiên cao,優先高,High Priority
