vi,nom,explain
bước chân,𨀈蹎,
chia nhau,𢺹僥,Split
chuyện xưa,传𠸗,Old Story
con đường,𡥵塘,road
cuộc đua,局𨅮,Race
cùng ngày,共𣈜,same day
cũng không sao,拱空哰,It's okay
cầm dao,擒刀,Knife Holding
da đỏ,耶𧹻,Indian skin
già trẻ,𫅷𥘷,Young and old
giờ làm việc,𣇞𫜵役,
hình chữ phẩm,形𡨸品,Letter Shape
không giống như,空𥞖如,Not like
Không Tước,空雀,
lý do,理由,Reasons
lạnh buốt,冷𤶽,Freezing pain
một bài học,沒排學,One lesson cost
người phàm,𠊛凡,Mortal
nhiễm khuẩn,染菌,Bacterial infections
nhẹ hơn,珥欣,Lighter
nương tay,埌𢬣,Reliance
nằm trong tầm tay,㑲沖尋𢬣,at your fingertips
ranh mãnh,𩲵猛,Sly
tọa hóa,坐化,Scientific conferences
tỏa ra,璅𤄷,radiate
xin được,吀得,please
đi lạc,呧落,stray
đi xuống,𠫾𠖈,go down
định đi,定𠫾,planning to go
