vi,nom,explain
cộng đồng quốc tế,共同國際,International Community
cứu người,救𠊛,save lives
cửu tầng,九層,Nine Floors
giữ được,拧得,Hold
gửi tới,寄𬧐,Send to
hy sinh,犧牲,Sacrifice
hình người,形𠊛,Humanoid
hạn mức,限𣞪,
không tốt,空𩫛,not good
manh mối,氓媒,Clue
mỗi năm,每㑲,annually
nhiệt đới,熱帶,Tropical
những người,仍𠊛,People
nếu lại,裊吏,if again
nứt ra,㘿𤄷,cracking
phải lại,沛來,Must Return
sự bình an,事平安,
thoái hóa,退化,Degeneration
tháng này,𣎃尼,
truyền thừa,傳承,inheritance
tùy ý,隨意,
tạo điều kiện,造條件,Facilitation
từ nhiều năm,自饒𠄼,from many years
vụ tấn công,務進功,Attack
ít ỏi,𠃣𱔎,meager
đa tạ,多謝,
điều đáng nói,條當吶,It's worth mentioning
được gọi là,得噲𱺵,is called
đến nhà,𦤾茹,to the house
