vi,nom,explain
bao nuôi,包𩝺,
bát sứ,鉢瓷,Porcelain Bowl
bị cấm,被禁,banned
Chiết Giang,浙江,Zhejiang
chuyện khác,𡀯恪,Other Stories/something else
chưa đủ,渚覩,Not enough
chảy ra,沚𤄷,Flow out
con mắt,崑眜,Eye
hoa mộc,花木,
kiếm được,劍得,Earned
kỳ diệu,奇妙,Miraculous/Marvel
là thật,𱺵實,is real
lối sống,𡓃𤯩,Lifestyle
mấy bước,𠇍𨀈,some steps
mặt hồ,𩈘湖,Lake surface
nghe tới,𦖑𬧐,Listen to
như trước,如𠓀,as before
phía Tây,𠌨西,West
rồi sao,耒炒,then
số tiền,數錢,Amount
thâm tàng bất lộ,深藏不露,hidden and undisclosed
trắng bệch,𤽸胉,White
tóc bạc,𩯀鉑,gray hair
vừa nói,𣃣吶,just said
xuất đạo,出道,Departure
đoàn tàu,團艚,fleet
đáng chết,當𣩂,worth dying
đến tuổi,𦤾歲,To the age
Ủy ban,委班,Commission
