vi,nom,explain
bán mạng,𧸝命,
bên sông,邊瀧,By the river
bỏ đi,𠬃呧,Walk away
cho vay,朱𢠿,
Chàng trai,払𤳆,Guy
có trong tay,固沖拪,Have in hand
cơn đau,杆刀,
cổ phương,古方,ancient pill
Hàng nghìn,行𠦳,Thousands of
khu nghỉ dưỡng,區儗養,Resorts
không chịu nổi,空𠹾浽,can't stand it
không có khả năng,空固可能,Not possible： an
kỷ niệm,紀念,Anniversary
lòng dạ,𢙱腋,Heart
Ngoài ra,外𤄷,Besides
ngây người,𣦍𠊛,Look stupid
người nay,𠊛𫢩,This person
ngụy biện,僞辯,Fallacy
nhục chưởng,肉掌,
phòng không gối chiếc,防空𨆝隻,To lead a single life
phản công,反攻,counterattack
suy nghĩ lại,推擬吏,Think again|Rethink|ruminate
thuộc về,屬撝,belong
trong thời,中時,during the
trông như,矓如,looks like
uống trà,㕵茶,Drinking tea
vâng lời,邦利,Obedience
vươn vai,𫏖𦠘,Stretch your shoulders
xin hỏi,吀𠳨,please inquire
Xấu nhất,醜一,Worst
đài lửa,臺焒,Fire station
đáp trả,搭㨋,Reply
đăng ký,登記,register
đốt phá,炪破,Burning
