vi,nom,explain
ai nấy đều,哀乃調,Everyone
bảo mệnh,保命,Protection
bắn ra,𢏑𤄷,Shoot Out
cách sống,隔𤯩,Lifestyle
có thể làm gì,固体𫜵之,What can be done
cất giọng,拮𠰩,Raise your voice
cắt ngắn,割𠦯,
lạnh toát,冷撮,frigid
mừng rỡ,𢜠𠒦,glad
ngay trước,𠵨𠓀,just before
ngọn núi,𦰟𡶀,Mountain
nhiều nhất,𡗉一,most
nhắc tới,𢩮𬧐,mention
nói vậy,吶丕,Saying that
năm tháng,𠄼𣎃,Five months
nếu không thì,裊空蒔,otherwise
phá giải,破解,Break the solution
phía bắc,𱘃北,North
phận xã,分社,Commune
ruột gan,𦛌肝,intestines|liver
trong giới,中界,in the
vết thương,𤵖傷,Wounds
ít có,𠃣固,few
điều kiện tiên quyết,條件先決,Prerequisites
đưa tay,迻𢬣,Reach out
đưa đến,迻𦤾,brought to
