vi,nom,explain
khép lại,𢬱吏,Closing
không tắm,空浸,No shower
không áp dụng,空壓用,Not applicable
kiến văn,見聞,Kien Van|literary knowledge
kiếp trước,劫𠓀,Past life
lưu chuyển,流轉,flowthrough
môn phiệt,門閥,
mỉm cười,𠽊唭,smile
một lúc lâu,𠬠𣅶𱍿,for a long time
nghĩ đến đó,擬𦤾妬,Think about it
người nữ,𠊛女,Woman
những điều,仍條,Things
núi non,𡶀嫩,
phế bỏ,廢𠬕,Disposal
quá trình xây dựng,過程𡏦𥩯,Construction Process
sức nặng,飭𥘀,Weight
Thanh Hóa,清化,Thanh Hoa province
thủy lợi,水利,
tiến tới,進𬧐,Forward
trung tâm thương mại,中心商賣,Commercial center
tép riu,浹簝,Shrimp
tùy tâm,隨心,
đem lại,𨑻吏,Bring
điều ấy,條𧘇,that
đó chính là,妬正𱺵,that is
đô thị hóa,都市化,Urbanization
đơn vị hành chính,單位行政,Administrative unit
đến khám,𦤾勘,Visit the doctor
