vi,nom,explain
ba đời,𠀧𠁀,Three generations
có thể là,固体𱺵,can be
cướp lấy,劫𥙩,rob
cấp ba,級𠀧,high school
của ông,𧵑翁,
khác với,恪貝,different from
khó xử,𠸋處,Awkward
không làm gì được,空𫜵之得,Nothing can be done
không nhiều,空𡗉,not much
nhắm mắt,𥄮眜,Close your eyes
những người khác,仍𠊛恪,Others
nắm quyền,捻權,Take power
phe cánh,派梗,
so với,摅唄,vs
thư thả,舒且,Relax
thất tung,失蹤,
tuyến đường,線塘,Route
tình hình,情形,Situation
vùng giá,漨價,Price Range
vừa đủ,𣃣𨁥,Just enough
được báo cáo,得報告,Reported
đại loạn,大亂,Great disorder
động lòng,動挵,Touching
ở cả hai phía,於哿𠄩𱘃,
