vi,nom,explain
bước đường cùng,𨀈塘共,Final Steps
bụng to,䏾𫰅,Big belly
chua xót,䣷㤕,sour
chuyện này,𡀯尼,this
chính ma,正魔,Main Ghost
có nhu cầu,固需求,in demand
dưới quyền,𨑜権,Under
hoàn mỹ,完美,flawless
Hội nghị thượng đỉnh,會議上頂,Summit
khi ấy,崎𧘇,at that time
làm gián điệp,𫜵間諜,Be a spy
lẽ ra,𨤰𤄷,should have
mấy lần,𠇍吝,several times
mặt nước,𩈘渃,
ngày nghỉ,𣈜儗,Holidays
người đọc,𠊛讀,
nhìn tới,𥆾𬧐,Look forward
niệm chú,念咒,recite mantra
phép màu xảy ra,法𦭷侈𫥨,Miracles happen
phù hợp với,符合貝,Suitable for
phải là,沛𱺵,must be
quá thấp,過𥰊,too low
ra dáng,𤄷𠍵,Pose
ra khỏi,𤄷𠺌,out of
rơi vào,淶𠓨,fall into
sự gia tăng,事加增,The Rise
sự kỳ thị,事奇視,Stigma
thiện chí,善志,goodwill
thoáng thấy,洸𧡊,at a glance
thôi được,嗺得,Okay
thấp bé,隰𡮣,Short
thử tài,試才,Try talent
trong năm nay,沖𠄼𫢩,this year
trỗi dậy,𥫌丕,rising
tâm phục khẩu phục,心服口服,Obedience
vài giờ,𠄧𣉹,A few hours
với tư cách,貝資格,as
đấu pháp,斗法,Fighting
đồng ý,同意,Agree
đủ ăn,𨁥咹,Enough food
