vi,nom,explain
bộc nhân,僕人,servitude
chém xuống,㓠𬺗,slash down
chính ủy,政委,Political Commissar
cường giả,強者,Strongman
cộng với,共貝,plus
dứt lời,𠞹唎,End the word
gọi điện,噲電,Calling
gợi lại,㨳吏,Recall
hơn là,欣𱺵,than
hương hỏa,香火,incense
hủy hoại,毀壞,Destruction
khác xa,恪賒,Far from
không hề,空嗘,not at all
linh đan,靈丹,
làm giám đốc,𫜵監督,Be a director
lối ra,𡓃𤄷,
mạnh mẽ nhất,猛瑪一,Most Powerful
một bên,𠬠邊,One Side
mới nhất,㵋一,Latest
nhìn ra,𥆾𤄷,Look Out
nhất định phải có,一定沛固,A must have
nằm dài,𦣰𨱽,sprawl
sàn nhà,潺茹,Flooring
thực hư,實虛,
tiền án,前案,Criminal record
trở về nhà,𠭤𧗱茹,Return Home
trục vớt,逐𣾼,salvage
trụy lạc,墜落,Perverted
tỏ ra,𤍊𤄷,show
tốt hơn,卒欣|𡄰欣,better
vài trăm,𠄧𤾓,A few hundred
vỡ đê,𥒮低,break the dyke
xa hơn,賒欣,Further
đầu lâu,頭樓,crossbone
đến mức,𦤾𣞪,to the extent that
đứt hơi,䋎唏,distress
