vi,nom,explain
che chắn,𩂏𥗜,Shielding
cuối năm,𡳳𠄼,End of the year
có chuyện gì,固傳之,What's going on
có mưa,固𩄎,rain
da đầu,䏧頭,
dừng lại,仃𠻇,stop
gặp nhau,﨤僥,meet
Hay lắm,咍𡗋,Very good
kiếm quyết,劍訣,Sword Determination
liên kết với,連結貝,Link to
mãi đến,𫡠𦤾,until
một tháng,𠬠𣎃,one month
người yếu,𠊛覅,Weak person
người đầu tiên,𠊛頭先,First Person
nhô ra,壖𤄷,Protruding
nắm đấm,捻抌,
quán nước,館渃,Water Bar
thời kỳ,時期,Period
trái cửa,債𨷯,Left Door
trên bàn,𨑗𠴞,on the table
tuổi già,歲𫅷,Old age
tất cả đều,悉𪥘調,all of them
Vài tháng,吧倘,Several months
đánh đồng,打同,To equate
Đông Hà,東河,Dong Ha
