vi,nom,explain
bật lên,弼𬨠,pop up
chính mình,正𨉟,Yourself
chạy ra,𧼋𤄷,Running Out
cướp mất,劫𠅒,Robbery
hành lễ,行禮,Ceremony
hầu hết đều,侯歇調,Most of them
khó tả,𠸋寫,difficult to describe
linh thạch,霊石,Spirit Stones
mặt trước,𩈘𠓀,Front
nhiều năm trước,饒𠄼𠓀,years ago
nhớ ra,𢖵𤄷,
quay về,𢮿𧗱,Back
quá muộn,過鞔,Too late
quản lý,管理,"manager, manage, administer"
sóng âm,㳥音,Sound Waves
sấm sét,𩆐𡏥,Thunder
sự biết ơn,事別恩,Gratitude
thiên kiếp,天劫,Heavenly Life
thiên vận,天運,Fortune
tiểu hữu,小友,xiaoyiu
trong lúc nóng giận,沖𣅶𤎏𢚷,In anger
truy nã quốc tế,追拿國際,International wanted
Tài chính,財政,Finance
tìm không được,尋空得,couldn't find it
vàng ròng,鐄𣳔,Net Gold
văn cảnh,文境,
điểm khác biệt,點恪別,difference point
đôi chân,對蹎,feet
