vi,nom,explain
biên nhận,編認,Receipts
bài học quý giá,排學貴價,
bất kỳ ai,不期誒,Anyone
chuyển thế,轉世,transition
chó săn,㹥𤜬,Hounds
chưa kịp,𣗓及,not in time
có liên quan đến,固連關𦤾,related to
cũng đúng,共中,also correct
góp vui,𢵰𢝙,Contribute to fun
gầm thét,㖗𠯦,roar
gặp trở ngại,﨤阻礙,Encountering obstacles
không bao lâu,空包𱍿,Not long
không nói,空吶,not speaking
không quá,空過,not too much
liên lụy,連累,involvement
làm sao biết được,𫜵哰別得,How do you know
Ma Kiên La,麻堅羅,Ma Kien La
mới có,𡤔固,NEW|just got it
nghe được,𦖑得,Audible
nguồn thông tin,源通信,Sources of information
ngực nở nang,𦙏𦬑榔,Enlarged breasts
nhằm phục vụ,𠁪服務,in order to serve
sớm hơn,𣋽欣,sooner
thì đây,時低,Here it is
thói quen sinh hoạt,𢟔慣生活,Lifestyle Habits
thấu hiểu,透曉,get it.
tỷ lệ,比例,Rate
xóa sạch,扠滌,wipe clean
đầu voi đuôi chuột,头㺔脽𤝞,elephant head mouse tail
đầy mắt,菭眜,full eyes
đối nhân xử thế,對人處世,Behavior
