vi,nom,explain
cao xa,高賒,high afar
có ý,固意,To mean
dây chuyền,絏傳,Production line
dính máu,䊅𧖱,Stained with blood
dựa trên,澦𨑗,based on
hào khí,豪氣,Aura
hơn hết,欣歇,Above all
Hồng Diệp phái,紅葉派,Hong Diep sect
ký hợp đồng,記合同,Contract Signing
liều mình,料𨉟,risking yourself
loại chất,類質,Type of substance
lấy đồ,𥙩徒,get stuff
lần tới,吝𬧐,next time
mua hàng,謨行,Purchase
mùi hương,苿香,scent
một thời,沒時,Once upon a time
người chứng kiến,𠊛證見,Witnesses
nói rằng,吶哴,says that
nơi ở,坭於,Accommodations
Phước Năng,福𢟒,Phuoc Nang
quá nhiều,過饒,too much
thần hồn,神魂,Soul
thật ra là,實𫥨𱺵,in fact
Tiếng cười,㗂唭,Laughter
tiếng Trung,㗂中,Chinese (Simplified)
vùng nông thôn,漨農村,
yếu ớt,覅遏,weak.
đổ lỗi,𢭰纇,Blaming
