vi,nom,explain
bước đầu tiên,𨀈頭先,First Step
bị giáng xuống,被降𬺗,are brought down
bọn họ,呠𣱆,them
chìm xuống,沈𬺗,Sinking
cuộc đấu,局斗,Fight
cực khoái,極快,Ecstasy
dọn đi,撰迻,Move out
hỏi ngược lại,𠳨逆徠,Ask the opposite
không phải vì,空沛為,
Kỳ họp,期合,Meeting
làm liều,𫜵料,
lời nói,唎吶,Speech
mang ra,忙𤄷,Bring Out
mạng sống,命𤯩,Life
một kẻ,沒仉,one guy
người cha,𠊛仛,Father
người nào cũng,𠊛𱜢拱,Whoever
nói trên,吶𨑗,aforementioned
sinh con,生崑,Childbirth
thốt ra,猝𤄷,To utter
to gan,𫰅肝,
trí tuệ nhân tạo,智彗人造,Artificial Intelligence
tung ra,嵩𤄷,Launch
tôi sẽ,碎仕,
việc này,役尼,this
đoàn tham dự,團參預,The delegation attended
đám người,𡌽𠊛,Crowd
