vi,nom,explain
bà ấy,婆𧘇,her
băng đảng,朋黨,
bất khuất,不屈,Indomitable
chẳng cần,拯懃,no need
câu cuối,句𡳳,Last sentence
cấp bảy,級𦉱,level seven
cộng đồng người Việt Nam,共同𠊛越南,Vietnamese community
di huấn,遺訓,Last teaching
khám bệnh,勘病,Medical Examination
không có nhiều,空固𡗉,not much
không quan trọng,空關重,not important
kính xe,鏡車,Car glass
lấy ra,𥙩囉,take out
lẽ thường tình,𨤰常情,Common sense
May là,𠶣𱺵,Fortunately
máy quay phim,𢵯𢮿Film,Film camera
mã hóa,碼化,Encryption
mắt xích,眜尺,Links
một điều,𠬠條,one thing that
nghiêng về,𱎸𧗱,leaning towards
ngày mưa,𣈜𩄎,Rainy day
nhận trách nhiệm,認責任,Taking responsibility
quá lâu,過樓,too long
rất tệ,窒敝,very bad
thuần túy,純粹,Pure
trong bối cảnh,沖背景,in context
truyền âm phù,傳音符,phonemic infusion
tìm được,尋得,found
ùng ục,嗡澳,gurgling
đối diện với,對面貝,Facing
đổi khác,𢷮恪,Others|Other changes
