vi,nom,explain
Bên cạnh đó,邊𧣲妬,Besides
bù đắp,補搭,offset
bị hư,被虛,damaged
chẳng có,拯固,There is no
chịu lỗi,𠺥纇,Fault tolerance
cuối ngày,𡳳𣈜,end of day
cầu viện,求援,Institute
giải quyết vấn đề,解決問題,Solve the problem
khinh người,輕𠊛,Contempt
không tính,空併,don't count
ký kết hợp đồng,記結合同,Signing the contract
làm sạch,𫜵滌,Cleaning
lúc nào cũng được,𣅶𱜢拱得,It's always okay
mấy con,𠇍𡥵,
một năm,𠬠𠄼,one year
người điên,𠊛癲,Crazy person
nhìn quanh,𥆾𨒺,Look around
nhất định phải,一定沛,must be
nhịp đập,楪㧺,Rthythm
thế hệ sau,世系𢖖,Next generation
trong chớp mắt,沖𩅀眜,in the blink of an eye
tránh xa,諍賒,stay away
tóm lại,縿吏,Finally
tới trước,𬧐𠓀,beforehand
vài người,𠄧𠊛,a few people
vào thời điểm này,𠓨時點尼,in this moment
yêu nhau,㤇僥,love each other
ông lão,翁老,Old Man
đi khám,呧勘,Go to the doctor
đích thực,的實,genuine|authentic|true|real
đại công,大功,Great job
