vi,nom,explain
bắt lấy,扒𥙩,Catch
chi tiết,支節,Details
chợt nghĩ,眣擬,suddenly thought
cuối tuần,𡳳旬,Weekends
có lý do,固理由,There's a reason
có nội dung,固內容,with the content
cô bé,孤𡮣,little girl
cũng không thể,拱空体,It is also impossible
hoàn thiện,完善,complete
khi đó,崎妬,at that time
khu rừng,區𡹃,Forest
là đủ,羅𨁥,enough
mây trời,𩄲𡗶,Clouds
mới hiểu,㵋曉,new understanding
năm tới,𠄼𬧐,Next year
tiều tụy,憔悴,exhaustion
trò cười,𠻀唭,jokes
Trúc Cơ,築基,zhuji
tăng vọt,增浡,Soaring
tập lệnh,集令,Script set
vốn đầu tư,𲂪投資,Investment capital
ăn ngon,咹㐳,Eat well
đám ma,𡌽麻,Funeral
đạt tới,達细,Reach
