vi,nom,explain
bay ra,𢒎𤄷,Fly Out
bùng cháy,熢𩶪,Burning
cháu gái,𡥙𡛔,nieces and nephews
cường hóa,強化,strengthen
hạn ngạch,限額,
không chịu,空𠹾,Not withstand
kém hơn,歉欣,Inferior
kìm được,鉗得,Can hold
luật sư trưởng,律師長,Chief Counsel
làm hại,𫜵害,
lá gan,蘿肝,Liver
lên kế hoạch,𬨠計劃,Planning
lập trình viên,立程員,
mọi thứ,每次,Everything
nở nang,𦬑榔,Bloom
phàm trần,汎塵,mortal
phóng ra,放𤄷,Launch
theo sát,蹺察,Follow up
theo tiêu chuẩn của,蹺標準𧵑,According to the standard of
Tiễn đoàn,踐團,Farewell
trăm phần trăm,𤾓份𤾓,hundred percent
Tân An,新安,Tan An
tỉnh ủy,省委,Provincial Party Committee
Ánh trăng,映𤽸,Moonlight
đen kịt,黰桀,black
đúng hơn là,倲欣𱺵,Rather than
đảng ủy,黨委,
đảo mắt một vòng,倒眜𠬠𤥑,
đến thăm,𦤾探,Visit
