vi,nom,explain
bao gồm,包𠁟,including
bảo đảm an toàn,保擔安全,Safety Assurance
bắt đầu lại,扒頭吏,Start over
bốn biển,𦊚㴜,Four Seas
chính phẩm,正品,genuine products
cầu cạnh,求競,
của tôi,𧵑碎,mine
gái gọi,𡛔噲,Call Girl
huyết hải thâm thù,血海深讎,Blood Sea Deep Vengeance
háo sắc,好色,lustful: an
hóa thành,化成,become
kiếm sống,劍𤯩,
lè nhè,嚟洏,Little
mào gà,𦙤𪃿,Chicken crest
mùa vụ,𬁒務,Seasonality
một đời,𠬠𠁀,a lifetime
ngộ đạo,悟道,Gnosticism
nhiều năm,饒𠄼,years
nhu cầu nước,需求渃,Water Demand
nhà tranh,茹幀,Thatching
nói chuyện với,吶𡀯貝,Talk to
run lên,憞蓮,trembling
thanh trừ,清除,Clearing
Theo đó,蹺妬,Accordingly
thơm ngon,𦹳㐳,Delicious
thời gian dài,時間𨱽,Long time
tiền sự,前事,Precedence
trên đất Thái,𨑗𡐙太,on Thai soil
tôi tớ,碎伵,Servant
tấn công,進功|進攻,attack|Attack
việc ác,役惡,Evil
vào trong,𠓨沖,Inside
xương người,𩩫𠊛,Human bones
Đông Hưng,東興,Dong Hung
đường dài,塘𨱽,
