vi,nom,explain
bày biện,排辨,Presentation
bị gián đoạn,被間斷,interrupted
gánh nặng,挭𥘀,Burden
hoàn toàn không phải là,完全空沛𱺵,Not at all
hóa trang,化粧,Dress up
không nhớ,空𢖵,I don't remember
không tệ,空敝,Not bad
kỷ lục,紀錄,Record
luyện hóa,煉化,Refining
lực lượng Công an,力量公安,Police Force
lực lượng cảnh sát,力量警察,Police Force
minh dương,明陽,
nghĩ ra,擬𤄷,Come up with
nghĩ đến,擬𦤾,think about
nội tình,內情,Internal affairs
phần mười,份𱑕,
tan biến,散遍,Dissolve
tay phải,𢬣沛,right hand
vào dịp,𠓨𣋑,on the occasion
Vĩnh Linh,永靈,Vinh Linh
đáng quý,當貴,precious|worthy of esteem|admirable
