vi,nom,explain
bà nội,婆內,
Bộ Nông Nghiệp,部農業,Ministry of Agriculture
càng thêm,𪨈添,More
hậu kỳ,后期,Post-production
kết nối,結綏,Connectivity
liếc nhìn,𥆁𥆾,At a glance
ly hôn,離婚,
làm bàn,𫜵𠴞,Table making
làm thế,𫜵勢,
nghe rõ,𦖑𤑟,
nghĩ vậy,擬丕,
người Mỹ,𠊛美,American
phòng điều hành,房調行,Executive Room
rơi vào tay,淶𠓨𢬣,Falling into the hands
thành phẩm,成品,Finished Products
thượng tu,上修,Upper Cultivation
tiếng áo,㗂镺,shirt sound
Trần Văn Tùng,陳文松,Tran Van Tung
vào túi,𠓨襊,into the bag
vọt lên,浡𬨠,Jump Up
xong đời,歱𠁀,finished life
đại yến,大宴,
