vi,nom,explain
an ủi,安慰,Comfort
chăn gối,𤛇𨆝,Bed and board
chơi game,𨔈game,Gaming
cấp cao,級高,Senior
cực Nam,極南,South Pole
gửi báo cáo,寄報告,Submit a report
hơn một năm,欣𠬠𠄼,more than a year
hư ảo,虛幻,Fantasy
khó hơn,庫欣,harder
khóa tài khoản,鎻財款,Account Lock
không báo,空报,unreported
không ít,空𠃝,not less
kỹ năng,技能,techniques
làm ảnh hưởng,𫜵影響,Affecting
lúc trước,𣅶𠓀,before
lớn lên,𡘯𬨠,Growing up
một chuyện,殳傳,one story
một người đàn ông,𠬠𠊛僤翁,One Man
người nào,𠊛𱜢,who
qua đó,瓜妬,thereby
sóng lớn,㳥𡘯,Large waves
thách thức,𡂓式,challenge
