vi,nom,explain
bên dưới,邊𨑜,under
bật ra,弼𤄷,pop out
chuyện dễ,傳𣉷,Easy thing
chống trợ cấp,𥧪助給,Anti-subsidy
Chủ tịch nước,主席渃,President
con gà,崑𪃿,
cung cấp nước,供給渃,Water Supply
có bằng chứng,固憑證,have evidence
của mình,𧵑𨉟,
dưới đây,𨑜低,below
Giang Nam,江南,江南
giun đất,𧉙𡐙,
giết được,悊待,kill
khu vực cấm,區域禁,Prohibited Areas
không thể,空體,cannot
không trả,空㨋,not paying
kình phong,劲風,Qiang Feng
lóa mắt,𤆷眜,dazzle
nghĩ là,擬𱺵,
người đứng đầu,𠊛𨅸頭,Head
nhục nhã,辱雅,humiliated
nộp đơn,納單,Apply
thần thái,神态,Spirit|attitude
tiếp viên hàng không,接員航空,
tận cùng,盡窮,The End
tập trận quân sự,習陣軍事,Military exercises
về phần,𧗱份,As for
đi du lịch,呧游历,traveling
đi ra,呧𤄷,come out
điều chỉnh,調整,adjustment
đèn chớp,畑𩅀,Flashing light
Đến cuối cùng,𦤾𡳳窮,until the end
đến với,𦤾貝,come with
