vi,nom,explain
báo cáo về,報告𧗱,Report about
bói toán,𧴤算,Divination
chuyên dùng,專用,Specialized
chìa khóa xe,匙銙車,Car key
có điều kiện,固條件,conditional
cùng lúc,共𣅶,
hất lên,迄𬨠,Push Up
không làm,空𫜵,Don't do
Lao xuống,牢𬺗,Plunge down
láng giềng,㫰𦀚,Neighbors
mối liên hệ,媒聯係,Connection
ngay lúc này,𠵨𣅶尼,for now
nghỉ lễ,儀禮,VACATION
người tốt,𠊛捽,Good people
nhẹ bỗng,珥唪,suddenly
nô nức,奴𱕔,excited
rất ít,窒𠃣,very little
thương thế,傷勢,injury
trả phí,㨋費,Paid
tuổi trung niên,歲中年,Middle Age
vang danh,㘇名,famously
vi quang,微光,Micro optics
vứt bỏ,𢪱補,Disposal
điện thoại thông minh,電話聰明,Smartphones
đón gió,迍𩙍,catch the wind
đường bay,塘𨅥,Flight route
được tin,得信,Trusted
đến hiện trường,𦤾現場,to the scene
