vi,nom,explain
chuyên án,專案,Special project
Chương trình nghị sự,章程議事,Agenda
chịu nổi,𠹾浽,Bearable
chỗ dựa,𡊲澦,Prop
càng sớm càng tốt,𪨈𣋽𪨈卒,as soon as possible
các cô,各姑,Girls
cánh hoa,梗花,Petals
gặp nhiều khó khăn,﨤𡗉𠸋𫩒,facing many difficulties
hoàn hải,環海,
hàng hóa,行貨,goods
không khách sáo,空客套,No Guest
không đi làm,空呧𫜵,Don't go to work
lăng không,凌空,Ling Kongkong!
minh họa,明畫,Illustration
Ngặt nỗi,扢餒,I'm so sad
ngồi bên,外邊,Side Sitting
nhiều điều,𡗉條,Many things
nhân hòa,人和,harmony
phổ biến,普遍,Popular
rất vui,窒𢝙,very happy
suy nghĩ về,推擬𧗱,Think about
suốt ngày,捽𣈜,all day long
thời gian qua,時間戈,past time
trong nhiều năm,沖饒𠄼,for many years
tất cả mọi người,悉𪥘𤗆𠊛,Everyone
vô lý,無理,impossible
xác chết biết đi,殼𣩂別呧,
Đi cùng,呧拱,Accompanying
được xem là,得䀡𱺵,is considered to be
đại bàng,大鵬,Eagle
ứng với,應貝,corresponding to
