vi,nom,explain
bay qua,𢒎戈,Flying Over
Bị đâm,備鈂,Stabbed
chạm mặt,𪮻𩈘,encounter
chắn ngang,𥗜卬,
Cày cuốc,𦓿𪅦,Plow and hoe
câu nói,句吶,Saying|Quotes
cần làm,𥵚𫜵,Do
kinh ngạc,驚愕,Amazed
làm mồi,𫜵烸,as bait
lên đến,𬨠𦤾,up to
một bước,𠬠𨀈,One Step
ngay trước mặt,𠵨𠓀𩈘,Right in front of
nguyên nhân chính,原因正,Main causes
như thường lệ,如常例,as usual
núi băng,𡶀氷,Iceberg
phá ngang,破昂,
quân cờ,軍棋,chess pieces
sóng biển,㳥㴜,ocean waves
tiếc rằng,惜哴,Unfortunately
tiền mã hóa,錢碼化,Cryptocurrencies
trở đi,阻呧,Onward
tại sân,在𡑝,In the yard
vang lên,㘇𬨠,resounding
vận thế,運勢,Fortune
đánh trượt,打跌,Slip
để đáp,底答,to reply
