vi,nom,explain
cho đến lúc,朱𦤾𣅶,Until then…
cách nào,格芾,any way
cũng là,共羅,also is
ghé lại,踦徠,
giật nảy mình,𪮞䄧𨉟,
ha hả,哬嘑,haha.
hai nước,𠄩渃,two countries
hay nói,咍吶,Talkative
hét lên,𠿒𬨠,scream
khoe khoang,誇𦨻,bragging
không thấy,空𧡊,Not seen
không đáp ứng,空答應,unresponsive
làm rõ,𫜵𤑟,Clarification
một bậc,沒堛,one tier
một số ít,𠬠數𠃣,a few
ngành khoa học,梗科學,Science
ngữ cảnh,語境,
nêu ra,𪲍𤄷,To mention
nói bừa,吶耚,Talk nonsense
phép màu,法𦭷,Miracle
sẽ có một ngày,仕固𠬠𣈜,There will be a day
sẽ có nhiều,仕固𡗉,there will be many
thì nay,蒔𫢩,tense now
thích chọn,刺撰,like choosing
thất khiếu,七竅,
trong phạm vi,沖範圍,within the scope
trôi qua,㵢戈,Passing
tới thăm,𬧐探,
vào đây,𠓨低,Go Here
đến cả,𦤾哿,to
ở lại,於吏,stay
