vi,nom,explain
bài đăng,排登,Posts
cha nuôi,仛𩝺,Adoptive father
chuyên về,專𧗱,Specializing in
cháu nội,孫內,Grandson
chạm nhau,𪮻僥,Touch each other
chỉ có,止固,only have just
cân nặng,斤𥘀,Weight
có phúc,固福,Blessed
gợi cảm,㨳感,sexy
khó tin,𠸋信,unbelievable
ký hiệu,記號,Symbol
ma túy,魔醉,
mãi chờ đợi,蕒䟻待,Forever Waiting
mê loạn,迷亂,crazy
mất mặt,𠅒𩈘,Loss of face
mắc phải,縸沛,get
nghỉ liên tục,儗連續,continuous rest
Ngày hôm sau,𣈜𣋚𢖖,The next day
ngày qua ngày,𣈜過𣈜,
nhắm tới,𥄮𬧐,Target
nói thế nào,吶勢𱜢,How to say
o,𡡅|𡀴,"vnedict2.json's own recorded rendering(s) for the single-letter Vietnamese word ""o"""
phát triển nhanh chóng,發展𮞊𫏢,grow rapidly
quá mạnh,過猛,too strong
quán đỉnh,灌頂,emblem
ra trận,𤄷陣,Going to battle
riêng mình,𥢆𨉟,alone
rất to,窒𫰅,very large
sáng loáng,𤏬𤈛,Glittering
thuyết phục,說服,persuasion
tiết kiệm năng lượn,節儉能𫅤,Energy saving
trong khi,沖崎,while
trái với,債貝,as opposed to
trả lại,㨋吏,Return
tạm ngừng,暫凝,Suspension
tạp lục,雜錄,miscellaneous
tỷ số,比數,Ratio
ông chủ,翁主,Boss
điều tra vụ án,調查務案,Investigate the case
đường dẫn cao tốc,塘引高速,Highway Path
