vi,nom,explain
bùng phát,熢發,
chiều sâu,朝漊,Depth
chạy tới,𧼋𬧐,Run to
còn trẻ,𡀳𥘷,Young
cứng đầu,勁頭,
gây thiệt hại,掑折害,causing damage
ngồi trên,𡎦𨑗,sit on
như trước đây,如𠓀低,as before
nhập liệu,入料,
né tránh,迡𠬉,Dodging
thao túng tâm lý,操縱心理,psychological manipulation
Thạch Thất,石室,Thach That
tiệc chiêu đãi,席招待,Reception
trong nháy mắt,沖𥅘眜,at a glance
tự an ủi,自安慰,Self-Comfort
vào sổ,𠓨擻,Enter the book
ăn xong,咹歱,finish eating|after eating
đoạt ngôi,奪𡾵,Take the throne
đám mây,𡌽𩄲,Cloud
đại từ đại bi,大慈大悲,Great Compassion Pronouns
